SIGNAL,CEC,SYSTEM,SCENE,LISTENER,PROMPT,NWORDS,HITS,CORRECT,RESPONSE,SEVERITY
CEC1_E001_S08593_L0221,CEC1,CEC1E001,S08593,L0221,so then in frustration she had to retreat,8,1,12.5,frustration,Moderate
CEC1_E001_S08594_L0231,CEC1,CEC1E001,S08594,L0231,i can't keep my cool and he does rattle me,10,4,40,i can't keep my ,Mild
CEC1_E001_S08595_L0208,CEC1,CEC1E001,S08595,L0208,there was a white envelope next to it,8,8,100,there was a white envelope next to it,Moderate
CEC1_E001_S08596_L0215,CEC1,CEC1E001,S08596,L0215,the secret is not to get involved,7,1,14.2857142857143,i get bowl,Moderate
CEC1_E001_S08600_L0227,CEC1,CEC1E001,S08600,L0227,i could swear i see it breathing,7,3,42.8571428571429,i could swear,Moderate
CEC1_E001_S08600_L0241,CEC1,CEC1E001,S08600,L0241,i could swear i see it breathing,7,4,57.1428571428571,i could swear i,Moderate
CEC1_E001_S08603_L0227,CEC1,CEC1E001,S08603,L0227,i put my hat on and get up,8,5,62.5,i put my hat on,Moderate
CEC1_E001_S08603_L0241,CEC1,CEC1E001,S08603,L0241,i put my hat on and get up,8,3,37.5,i took my hat off,Moderate
CEC1_E001_S08606_L0224,CEC1,CEC1E001,S08606,L0224,it has in fact a complete absence of energy,9,0,0,he had been sat,Moderate
CEC1_E001_S08614_L0218,CEC1,CEC1E001,S08614,L0218,replace the paper and the lid and cook another hour,10,4,40,place the on the lid and take,Mild
CEC1_E001_S08615_L0215,CEC1,CEC1E001,S08615,L0215,his uncertainty is visible in the diplomatic cable traffic,9,0,0,#,Moderate
CEC1_E001_S08624_L0212,CEC1,CEC1E001,S08624,L0212,their comparative accuracy has never to my knowledge been studied,10,0,0,#,Moderate
CEC1_E001_S08624_L0221,CEC1,CEC1E001,S08624,L0221,their comparative accuracy has never to my knowledge been studied,10,0,0,#,Moderate
CEC1_E001_S08625_L0200,CEC1,CEC1E001,S08625,L0200,i'm not your enemy you can trust me,8,5,62.5,i met your you can trust me,Moderate
CEC1_E001_S08627_L0219,CEC1,CEC1E001,S08627,L0219,but there had to be something they could do,9,0,0,#,Moderate
CEC1_E001_S08628_L0243,CEC1,CEC1E001,S08628,L0243,someone is going to be very disappointed,7,7,100,someone is going to be very disappointed ,Mild
CEC1_E001_S08633_L0218,CEC1,CEC1E001,S08633,L0218,waiter may i have some bread please,7,6,85.7142857142857,waitress may i have some bread please,Mild
CEC1_E001_S08636_L0243,CEC1,CEC1E001,S08636,L0243,you won't try to persuade me not to,8,8,100,you won't try to persuade me not to,Mild
CEC1_E001_S08637_L0222,CEC1,CEC1E001,S08637,L0222,this is the essence of the algorithm above,8,8,100,this is the essence of the algorithm above,Moderate
CEC1_E001_S08644_L0219,CEC1,CEC1E001,S08644,L0219,i was beginning to think you weren't coming,8,7,87.5,i was beginning to think you wasn't coming,Moderate
CEC1_E001_S08645_L0240,CEC1,CEC1E001,S08645,L0240,no one came on as a sub did they,9,9,100,no one came on as a sub did they ,Mild
CEC1_E001_S08648_L0222,CEC1,CEC1E001,S08648,L0222,it wasn't really that different from the approved school,9,2,22.2222222222222,it wasn't,Moderate
CEC1_E001_S08649_L0236,CEC1,CEC1E001,S08649,L0236,all this attention from women is very flattering,8,2,25,was very flattering,Moderately severe
CEC1_E001_S08651_L0215,CEC1,CEC1E001,S08651,L0215,there wouldn't be any room for us to be us,10,7,70,there wouldn't be any room for us,Moderate
CEC1_E001_S08652_L0219,CEC1,CEC1E001,S08652,L0219,you were late by half an hour this afternoon,9,0,0,#,Moderate
CEC1_E001_S08653_L0231,CEC1,CEC1E001,S08653,L0231,attached was a note giving his name,7,3,42.8571428571429,attached was his given name ,Mild
CEC1_E001_S08656_L0215,CEC1,CEC1E001,S08656,L0215,to the area concerned or to the office,8,0,0,#,Moderate
CEC1_E001_S08660_L0231,CEC1,CEC1E001,S08660,L0231,now that has all been sunk without trace,8,8,100,now that has all been sunk without trace,Mild
CEC1_E001_S08662_L0208,CEC1,CEC1E001,S08662,L0208,the vital ingredient the ingredient of life was missing,9,4,44.4444444444444,the vital ingredient is missing,Moderate
CEC1_E001_S08664_L0217,CEC1,CEC1E001,S08664,L0217,will you ask her or shall i,7,0,0,two months ago,Moderate
CEC1_E001_S08667_L0212,CEC1,CEC1E001,S08667,L0212,she doesn't miss a trick does she,7,0,0,#,Moderate
CEC1_E001_S08671_L0200,CEC1,CEC1E001,S08671,L0200,i am writing a book on the subject,8,1,12.5,i think,Moderate
CEC1_E001_S08674_L0218,CEC1,CEC1E001,S08674,L0218,the ground there is still common land,7,4,57.1428571428571,that there is common land,Mild
CEC1_E001_S08674_L0221,CEC1,CEC1E001,S08674,L0221,the ground there is still common land,7,6,85.7142857142857,the ground there was still common land,Moderate
CEC1_E001_S08681_L0222,CEC1,CEC1E001,S08681,L0222,no i could eat and get away with it,9,0,0,#,Moderate
CEC1_E001_S08682_L0217,CEC1,CEC1E001,S08682,L0217,without another word the doctor strode into the darkness,9,1,11.1111111111111,doctor,Moderate
CEC1_E001_S08683_L0224,CEC1,CEC1E001,S08683,L0224,the distinction however is little more than skin deep,9,0,0,#,Moderate
CEC1_E001_S08685_L0240,CEC1,CEC1E001,S08685,L0240,you haven't gone and fallen have you,7,0,0,now ,Mild
CEC1_E001_S08686_L0208,CEC1,CEC1E001,S08686,L0208,you must find a squat for yourself,7,2,28.5714285714286,must find,Moderate
CEC1_E001_S08688_L0209,CEC1,CEC1E001,S08688,L0209,so is it just a matter of degree,8,1,12.5,you say it exist,Moderate
CEC1_E001_S08689_L0208,CEC1,CEC1E001,S08689,L0208,she had to get rid of him,7,2,28.5714285714286,she has to in,Moderate
CEC1_E001_S08690_L0227,CEC1,CEC1E001,S08690,L0227,he doesn't like his photograph being taken,7,7,100,he doesn't like his photograph being taken,Moderate
CEC1_E001_S08690_L0235,CEC1,CEC1E001,S08690,L0235,he doesn't like his photograph being taken,7,7,100,he doesn't like his photograph being taken,Mild
CEC1_E001_S08702_L0201,CEC1,CEC1E001,S08702,L0201,couldn't do it without you you know,7,0,0,#,Mild
CEC1_E001_S08703_L0229,CEC1,CEC1E001,S08703,L0229,we had an agreement and she broke it,8,4,50,we had an agreement,Mild
CEC1_E001_S08703_L0235,CEC1,CEC1E001,S08703,L0235,we had an agreement and she broke it,8,4,50,we had an agreement perfect,Mild
CEC1_E001_S08707_L0215,CEC1,CEC1E001,S08707,L0215,be as realistic and objective as you can,8,0,0,#,Moderate
CEC1_E001_S08710_L0243,CEC1,CEC1E001,S08710,L0243,but the consumer could benefit still further,7,0,0,#,Mild
CEC1_E001_S08714_L0236,CEC1,CEC1E001,S08714,L0236,and yet all you are doing is reading a book,10,1,10,get home by saying it is a reasonable look,Moderately severe
CEC1_E001_S08717_L0236,CEC1,CEC1E001,S08717,L0236,whatever she has or does i try to stay ahead,10,3,30,he might try to stay at home,Moderately severe
CEC1_E001_S08719_L0212,CEC1,CEC1E001,S08719,L0212,we chose you you belong to us,7,0,0,#,Moderate
CEC1_E001_S08719_L0221,CEC1,CEC1E001,S08719,L0221,we chose you you belong to us,7,7,100,we chose you you belong to us,Moderate
CEC1_E001_S08723_L0201,CEC1,CEC1E001,S08723,L0201,it made you feel pretty peculiar didn't it,8,2,25,it made,Mild
CEC1_E001_S08725_L0217,CEC1,CEC1E001,S08725,L0217,the essence of the craftsman will never leave the work,10,7,70,the essence of will never lose the work,Moderate
CEC1_E001_S08727_L0224,CEC1,CEC1E001,S08727,L0224,but it was always so hot in the centre,9,0,0,#,Moderate
CEC1_E001_S08729_L0217,CEC1,CEC1E001,S08729,L0217,this week i spoke to my constituent,7,6,85.7142857142857,this week i spoke to my constituents,Moderate
CEC1_E001_S08729_L0242,CEC1,CEC1E001,S08729,L0242,this week i spoke to my constituent,7,7,100,this week i spoke to my constituent,Moderately severe
CEC1_E001_S08732_L0200,CEC1,CEC1E001,S08732,L0200,and we need your help with the survey,8,0,0,#,Moderate
CEC1_E001_S08732_L0240,CEC1,CEC1E001,S08732,L0240,and we need your help with the survey,8,7,87.5,we need your help with the survey,Mild
CEC1_E001_S08739_L0236,CEC1,CEC1E001,S08739,L0236,could you please at least tell them it's quite urgent,10,0,0,it was tough,Moderately severe
CEC1_E001_S08742_L0229,CEC1,CEC1E001,S08742,L0229,do they make much fuss about that,7,2,28.5714285714286,you much fuss,Mild
CEC1_E001_S08742_L0235,CEC1,CEC1E001,S08742,L0235,do they make much fuss about that,7,3,42.8571428571429,do they about us,Mild
CEC1_E001_S08743_L0222,CEC1,CEC1E001,S08743,L0222,wear old clothes and bring a hammer,7,0,0,#,Moderate
CEC1_E001_S08745_L0218,CEC1,CEC1E001,S08745,L0218,afterwards we could look round at leisure,7,3,42.8571428571429,afterwards at leisure ,Mild
CEC1_E001_S08745_L0221,CEC1,CEC1E001,S08745,L0221,afterwards we could look round at leisure,7,7,100,afterwards we could look round at leisure,Moderate
CEC1_E001_S08750_L0222,CEC1,CEC1E001,S08750,L0222,we would like you to keep it,7,4,57.1428571428571,we would like to,Moderate
CEC1_E001_S08751_L0229,CEC1,CEC1E001,S08751,L0229,the agency however has promised that he'll be in touch,10,0,0,#,Mild
CEC1_E001_S08751_L0235,CEC1,CEC1E001,S08751,L0235,the agency however has promised that he'll be in touch,10,0,0,#,Mild
CEC1_E001_S08752_L0208,CEC1,CEC1E001,S08752,L0208,and will you be happy to go,7,4,57.1428571428571,i'd really be happy to go,Moderate
CEC1_E001_S08752_L0209,CEC1,CEC1E001,S08752,L0209,and will you be happy to go,7,3,42.8571428571429,have you to go,Moderate
CEC1_E001_S08753_L0219,CEC1,CEC1E001,S08753,L0219,i was afraid she would die there and then,9,0,0,#,Moderate
CEC1_E001_S08756_L0236,CEC1,CEC1E001,S08756,L0236,it isn't fairness that the world needs,7,0,0,#,Moderately severe
CEC1_E001_S08759_L0202,CEC1,CEC1E001,S08759,L0202,they never seem to be having a great time,9,0,0,#,Moderate
CEC1_E001_S08761_L0212,CEC1,CEC1E001,S08761,L0212,you can say you were having a word with me,10,10,100,you can say you were having a word with me,Moderate
CEC1_E001_S08765_L0201,CEC1,CEC1E001,S08765,L0201,gloria took the part of the elder princess,8,1,12.5,gloria,Mild
CEC1_E001_S08766_L0201,CEC1,CEC1E001,S08766,L0201,it is not made by the local authority,8,4,50,was not known by the local authorities,Mild
CEC1_E001_S08778_L0212,CEC1,CEC1E001,S08778,L0212,it's no good fooling yourself is it,7,0,0,#,Moderate
CEC1_E001_S08778_L0221,CEC1,CEC1E001,S08778,L0221,it's no good fooling yourself is it,7,2,28.5714285714286,is it,Moderate
CEC1_E001_S08779_L0212,CEC1,CEC1E001,S08779,L0212,i was just rather rude to you,7,7,100,i was just rather rude to you,Moderate
CEC1_E001_S08779_L0221,CEC1,CEC1E001,S08779,L0221,i was just rather rude to you,7,5,71.4285714285714,i would just rather read to you,Moderate
CEC1_E001_S08780_L0212,CEC1,CEC1E001,S08780,L0212,just tell me what i need to know,8,8,100,just tell me what i need to know,Moderate
CEC1_E001_S08781_L0201,CEC1,CEC1E001,S08781,L0201,his smile was wry and full of understanding,8,0,0,he smiled at,Mild
CEC1_E001_S08782_L0243,CEC1,CEC1E001,S08782,L0243,then everything was forgotten except the moment,7,6,85.7142857142857,then everything was forgotten except the ,Mild
CEC1_E001_S08785_L0224,CEC1,CEC1E001,S08785,L0224,apart from one plump couple they were all men,9,7,77.7777777777778,apart from one they were all men,Moderate
CEC1_E001_S08786_L0242,CEC1,CEC1E001,S08786,L0242,perhaps you wonder why i married him then,8,6,75,perhaps he wondered why i married him then,Moderately severe
CEC1_E001_S08790_L0240,CEC1,CEC1E001,S08790,L0240,what do you know about the rest of the castle,10,9,90,what do you know about the rest of the parcel,Mild
CEC1_E001_S08791_L0200,CEC1,CEC1E001,S08791,L0200,you were watching me all the time,7,2,28.5714285714286,all of the time,Moderate
CEC1_E001_S08791_L0240,CEC1,CEC1E001,S08791,L0240,you were watching me all the time,7,6,85.7142857142857,you were watching all the time ,Mild
CEC1_E001_S08793_L0217,CEC1,CEC1E001,S08793,L0217,and it would matter to james too,7,0,0,change,Moderate
CEC1_E001_S08795_L0240,CEC1,CEC1E001,S08795,L0240,he was here to get a feel for the place,10,9,90,he was here to get a feel for the [endpoint],Mild
CEC1_E001_S08798_L0229,CEC1,CEC1E001,S08798,L0229,be so kind as to answer me,7,0,0,#,Mild
CEC1_E001_S08798_L0235,CEC1,CEC1E001,S08798,L0235,be so kind as to answer me,7,0,0,#,Mild
CEC1_E001_S08800_L0243,CEC1,CEC1E001,S08800,L0243,closed from end of october to beginning of march,9,0,0,begin ,Mild
CEC1_E001_S08808_L0227,CEC1,CEC1E001,S08808,L0227,don't believe all of the city is like this,9,3,33.3333333333333,don't like this,Moderate
CEC1_E001_S08808_L0241,CEC1,CEC1E001,S08808,L0241,don't believe all of the city is like this,9,8,88.8888888888889,don't believe all the city is like this,Moderate
CEC1_E001_S08809_L0224,CEC1,CEC1E001,S08809,L0224,he saw the humorous side even of the slump,9,0,0,#,Moderate
CEC1_E001_S08810_L0212,CEC1,CEC1E001,S08810,L0212,but it's people who convert that into a successful business,10,7,70,but it's people that will build it into a successful business,Moderate
CEC1_E001_S08810_L0221,CEC1,CEC1E001,S08810,L0221,but it's people who convert that into a successful business,10,4,40,but it's successful business,Moderate
CEC1_E001_S08816_L0215,CEC1,CEC1E001,S08816,L0215,and what do you know he bit out thickly,9,2,22.2222222222222,and what is easy now,Moderate
CEC1_E001_S08817_L0243,CEC1,CEC1E001,S08817,L0243,i must have that photograph he said,7,7,100,i must have that photograph he said ,Mild
CEC1_E001_S08818_L0227,CEC1,CEC1E001,S08818,L0227,still you know what they say daddy,7,6,85.7142857142857,still you know what they say then,Moderate
CEC1_E001_S08818_L0235,CEC1,CEC1E001,S08818,L0235,still you know what they say daddy,7,7,100,still you know what they say daddy,Mild
CEC1_E001_S08820_L0212,CEC1,CEC1E001,S08820,L0212,a spurious contrast effect is provided in the opening paragraph,10,0,0,#,Moderate
CEC1_E001_S08820_L0221,CEC1,CEC1E001,S08820,L0221,a spurious contrast effect is provided in the opening paragraph,10,4,40,contrast effect is provided,Moderate
CEC1_E001_S08821_L0240,CEC1,CEC1E001,S08821,L0240,he could have used this to burn the diary,9,8,88.8888888888889,he could have used this to burn the dial,Mild
CEC1_E001_S08823_L0200,CEC1,CEC1E001,S08823,L0200,she said i still don't see the point,8,0,0,#,Moderate
CEC1_E001_S08823_L0240,CEC1,CEC1E001,S08823,L0240,she said i still don't see the point,8,5,62.5,she said we still don't see anything,Mild
CEC1_E001_S08827_L0219,CEC1,CEC1E001,S08827,L0219,it's all this moving around the country,7,7,100,it's all this moving around the country,Moderate
CEC1_E001_S08828_L0200,CEC1,CEC1E001,S08828,L0200,how did you get on with them,7,3,42.8571428571429,how did he get out of it,Moderate
CEC1_E001_S08829_L0208,CEC1,CEC1E001,S08829,L0208,my son was a fool he said,7,5,71.4285714285714,your son is a fool he said,Moderate
CEC1_E001_S08829_L0209,CEC1,CEC1E001,S08829,L0209,my son was a fool he said,7,2,28.5714285714286,he'll send us food he said,Moderate
CEC1_E001_S08831_L0229,CEC1,CEC1E001,S08831,L0229,the following comment is from one member of this board,10,6,60,the following comment one member of the crew,Mild
CEC1_E001_S08831_L0235,CEC1,CEC1E001,S08831,L0235,the following comment is from one member of this board,10,10,100,the following comment is from one member of this board,Mild
CEC1_E001_S08833_L0242,CEC1,CEC1E001,S08833,L0242,she twisted round to look up at him,8,0,0,#,Moderately severe
CEC1_E001_S08834_L0201,CEC1,CEC1E001,S08834,L0201,her mind was made up long before today,8,7,87.5,her mind made up long before today,Mild
CEC1_E001_S08836_L0242,CEC1,CEC1E001,S08836,L0242,i'm sorry but can we get one thing straight,9,3,33.3333333333333,one thing straight,Moderately severe
CEC1_E001_S08837_L0243,CEC1,CEC1E001,S08837,L0243,is this because they think they are without inhumane behaviour,10,9,90,is this because they think they are without behaviour ,Mild
CEC1_E001_S08843_L0215,CEC1,CEC1E001,S08843,L0215,but it's only just gone four o'clock,7,0,0,#,Moderate
CEC1_E001_S08844_L0219,CEC1,CEC1E001,S08844,L0219,now come down and have a drink,7,0,0,#,Moderate
CEC1_E001_S08847_L0215,CEC1,CEC1E001,S08847,L0215,from a commercial point of view however liquidity is fundamental,10,0,0,#,Moderate
CEC1_E001_S08851_L0200,CEC1,CEC1E001,S08851,L0200,why did england fail to exploit the discovery,8,2,25,why did he,Moderate
CEC1_E001_S08853_L0219,CEC1,CEC1E001,S08853,L0219,that i think is a healthy enough attitude,8,8,100,that i think is a healthy enough attitude,Moderate
CEC1_E001_S08854_L0202,CEC1,CEC1E001,S08854,L0202,it was out of the blackness that the sea came,10,0,0,#,Moderate
CEC1_E001_S08855_L0236,CEC1,CEC1E001,S08855,L0236,it wouldn't be right to do that,7,1,14.2857142857143,it did,Moderately severe
CEC1_E001_S08856_L0231,CEC1,CEC1E001,S08856,L0231,i don't understand why they sent you,7,7,100,i don't understand why they sent you ,Mild
CEC1_E001_S08858_L0215,CEC1,CEC1E001,S08858,L0215,they made me feel older than they were,8,6,75,it makes me feel older than they were,Moderate
CEC1_E001_S08862_L0217,CEC1,CEC1E001,S08862,L0217,he was very good with them as the phrase went,10,1,10,he,Moderate
CEC1_E001_S08870_L0215,CEC1,CEC1E001,S08870,L0215,will i get some in for you now,8,1,12.5,we'll get by,Moderate
CEC1_E001_S08872_L0219,CEC1,CEC1E001,S08872,L0219,i break them in for my dad,7,0,0,#,Moderate
CEC1_E001_S08873_L0219,CEC1,CEC1E001,S08873,L0219,no they have gone a bit cool towards her,9,0,0,#,Moderate
CEC1_E001_S08879_L0217,CEC1,CEC1E001,S08879,L0217,my memory wretched thing is still playing truant,8,1,12.5,my,Moderate
CEC1_E001_S08884_L0200,CEC1,CEC1E001,S08884,L0200,there is no substitute for personal contact in this work,10,2,20,everything in this way,Moderate
CEC1_E001_S08885_L0224,CEC1,CEC1E001,S08885,L0224,the red cross were over there straight away,8,0,0,#,Moderate
CEC1_E001_S08887_L0218,CEC1,CEC1E001,S08887,L0218,but he'll get it first thing in the morning,9,0,0,#,Mild
CEC1_E001_S08887_L0221,CEC1,CEC1E001,S08887,L0221,but he'll get it first thing in the morning,9,0,0,#,Moderate
CEC1_E001_S08889_L0200,CEC1,CEC1E001,S08889,L0200,this was a real answer to prayer,7,6,85.7142857142857,this is a real answer to prayer,Moderate
CEC1_E001_S08889_L0240,CEC1,CEC1E001,S08889,L0240,this was a real answer to prayer,7,7,100,this was a real answer to prayer,Mild
CEC1_E001_S08890_L0202,CEC1,CEC1E001,S08890,L0202,you are like children playing a game,7,0,0,#,Moderate
CEC1_E001_S08894_L0222,CEC1,CEC1E001,S08894,L0222,that doesn't mean i can't talk to you does it,10,10,100,that doesn't mean i can't talk to you does it,Moderate
CEC1_E001_S08895_L0236,CEC1,CEC1E001,S08895,L0236,there won't be another for an hour she cried,9,0,0,#,Moderately severe
CEC1_E001_S08901_L0224,CEC1,CEC1E001,S08901,L0224,i hold your hand and you hold mine,8,8,100,i hold your hand and you hold mine,Moderate
CEC1_E001_S08903_L0222,CEC1,CEC1E001,S08903,L0222,however there was one small but significant error,8,0,0,#,Moderate
CEC1_E001_S08905_L0231,CEC1,CEC1E001,S08905,L0231,don't you yet understand boy what you mean to me,10,7,70,do you not understand long term what you mean to me ,Mild
CEC1_E001_S08907_L0202,CEC1,CEC1E001,S08907,L0202,but what does living together as husband and wife mean,10,0,0,#,Moderate
CEC1_E001_S08908_L0240,CEC1,CEC1E001,S08908,L0240,the speed of change should not be exaggerated,8,8,100,the speed of change should not be exaggerated,Mild
CEC1_E001_S08911_L0243,CEC1,CEC1E001,S08911,L0243,she felt ashamed of being such a failure,8,0,0,#,Mild
CEC1_E001_S08916_L0236,CEC1,CEC1E001,S08916,L0236,and we both know that force wouldn't be necessary,9,0,0,there were those,Moderately severe
CEC1_E001_S08917_L0200,CEC1,CEC1E001,S08917,L0200,exactly the sort of man you would not suspect,9,0,0,#,Moderate
CEC1_E001_S08919_L0231,CEC1,CEC1E001,S08919,L0231,this is the end of my criminal career he said,10,10,100,this is the end of my criminal career he said ,Mild
CEC1_E001_S08920_L0227,CEC1,CEC1E001,S08920,L0227,if you risk nothing you achieve nothing,7,2,28.5714285714286,this will achieve nothing,Moderate
CEC1_E001_S08920_L0241,CEC1,CEC1E001,S08920,L0241,if you risk nothing you achieve nothing,7,7,100,if you risk nothing you will achieve nothing,Moderate
CEC1_E001_S08922_L0236,CEC1,CEC1E001,S08922,L0236,why don't you stay sunday as well,7,1,14.2857142857143,why did they say,Moderately severe
CEC1_E001_S08923_L0236,CEC1,CEC1E001,S08923,L0236,this is a classic sauce to serve with fish,9,5,55.5555555555556,this was a classic sauce to,Moderately severe
CEC1_E001_S08929_L0243,CEC1,CEC1E001,S08929,L0243,i think it's a good reason for not getting married,10,0,0,#,Mild
CEC1_E001_S08931_L0217,CEC1,CEC1E001,S08931,L0217,she was great fun charming and kind says a friend,10,7,70,she was great fun charming and kind said her friends,Moderate
CEC1_E001_S08934_L0208,CEC1,CEC1E001,S08934,L0208,she pointed along the counter to the till,8,3,37.5,along the counter,Moderate
CEC1_E001_S08934_L0209,CEC1,CEC1E001,S08934,L0209,she pointed along the counter to the till,8,0,0,#,Moderate
CEC1_E001_S08935_L0202,CEC1,CEC1E001,S08935,L0202,what did you do with the screen,7,4,57.1428571428571,what did you do,Moderate
CEC1_E001_S08936_L0242,CEC1,CEC1E001,S08936,L0242,maybe i can find someone to apprentice me,8,4,50,maybe i had find some to impress him,Moderately severe
CEC1_E001_S08937_L0200,CEC1,CEC1E001,S08937,L0200,i think it's where we ought to be going,9,0,0,#,Moderate
CEC1_E001_S08939_L0222,CEC1,CEC1E001,S08939,L0222,all are appointed by the lord chancellor,7,0,0,#,Moderate
CEC1_E001_S08940_L0217,CEC1,CEC1E001,S08940,L0217,but it does not work like that,7,7,100,but it does not work like that,Moderate
CEC1_E001_S08942_L0208,CEC1,CEC1E001,S08942,L0208,the quality of housing is also improving all the time,10,8,80,the quality of housing is all the time,Moderate
CEC1_E001_S08942_L0209,CEC1,CEC1E001,S08942,L0209,the quality of housing is also improving all the time,10,7,70,the quality of person is all the time,Moderate
CEC1_E001_S08943_L0201,CEC1,CEC1E001,S08943,L0201,the door to his office was always open,8,0,0,#,Mild
CEC1_E001_S08949_L0231,CEC1,CEC1E001,S08949,L0231,you would have to question whether she is genuine,9,6,66.6666666666667,you have to question is she genuine ,Mild
CEC1_E001_S08950_L0231,CEC1,CEC1E001,S08950,L0231,the answer is likely to be in the kitchen,9,9,100,the answer is likely to be in the kitchen ,Mild
CEC1_E001_S08952_L0215,CEC1,CEC1E001,S08952,L0215,it is not business as usual with china,8,0,0,#,Moderate
CEC1_E001_S08955_L0240,CEC1,CEC1E001,S08955,L0240,your mother needs help with the washing,7,7,100,your mother needs help with the washing ,Mild
CEC1_E001_S08956_L0242,CEC1,CEC1E001,S08956,L0242,there is also the need for emotional stability,8,3,37.5,there is emotional,Moderately severe
CEC1_E001_S08958_L0200,CEC1,CEC1E001,S08958,L0200,he will talk about us to the cook,8,0,0,#,Moderate
CEC1_E001_S08958_L0240,CEC1,CEC1E001,S08958,L0240,he will talk about us to the cook,8,7,87.5,he would talk about us to the cook,Mild
CEC1_E001_S08959_L0218,CEC1,CEC1E001,S08959,L0218,having the collision was the easy part,7,0,0,#,Mild
CEC1_E001_S08959_L0221,CEC1,CEC1E001,S08959,L0221,having the collision was the easy part,7,0,0,permission,Moderate
CEC1_E001_S08960_L0229,CEC1,CEC1E001,S08960,L0229,my waking thought is what will i eat today,9,7,77.7777777777778,my thought what will i eat today,Mild
CEC1_E001_S08960_L0235,CEC1,CEC1E001,S08960,L0235,my waking thought is what will i eat today,9,9,100,my waking thought is what will i eat today,Mild
CEC1_E001_S08961_L0209,CEC1,CEC1E001,S08961,L0209,well it's a pity you said it now,8,8,100,well it's a pity you said it now,Moderate
CEC1_E001_S08965_L0219,CEC1,CEC1E001,S08965,L0219,and i wouldn't be happy working for anyone else,9,0,0,#,Moderate
